short_id,short_headline,short_view_count,url,time_record,video_tag
Du_PKRdB50Y,She did NOT hesitate giving her number 💀 (Jujutsu Kaisen Season 2),2.4M views,/shorts/Du_PKRdB50Y,2024-03-18 23:32:23.757362,"['HARISSM', 'anime reaction', 'anime mashup', 'Jujutsu Kaisen', 'Jujutsu Kaisen Season 2 Episode 2', 'Jujutsu Kaisen Season 2 reaction', 'Jujutsu Kaisen season 2 episode 2 reaction', 'Jujutsu Kaisen season 2 ep 2 reaction', 'Jujutsu Kaisen gojo geto', 'Jujutsu Kaisen fushiguro dad', 'Jujutsu Kaisen episode 2', 'Jujutsu Kaisen Harissm', 'Jujutsu Kaisen reaction mashup', 'Jujutsu kaisen harissm reaction', 'itadori yuuji', 'fushiguro megumi', 'gojou satoru', 'jujutsu kaisen end', 'fushiguro touji', 'getou suguru']"
TIXpAHkgqQM,Hololive Kobo Kanaeru Realistic AI Generated,111K views,/shorts/TIXpAHkgqQM,2024-03-18 23:32:23.757362,"['kobo', 'kobo kanaeru', 'aI', 'aiart', 'Photographs', 'Lookbook', 'がうる・ぐら', 'hololive real face', 'hololive indonesia', 'hololive en', 'holoid', 'kobokers', 'ai art and music', 'kobo ai', 'hololive ai', 'hololive kobo', 'kobo clip', 'wajah asli kobo kanaeru', 'realistic ai', 'kobo hololive', 'kobo cover', 'kobo kanaeru ch', 'kobo kaneru', 'ai generated']"
U71tzh7oPBA,Ievan polkka russian vs japanese,3.3M views,/shorts/U71tzh7oPBA,2024-03-18 23:32:23.757362,[]
AQnwDG_DQMs,Who Was The First VTuber?,815K views,/shorts/AQnwDG_DQMs,2024-03-18 23:32:23.757362,"['anime', 'manga', 'theanimeman', 'reviews', 'discussions', 'music', ""let's"", 'play', 'walkthrough', 'playthrough', 'funny', 'moments', 'epic', 'fail', 'commentary', 'live', 'reaction', 'Japan', 'Japanese', 'The Anime Man', 'thean1meman']"
DxN6u3_MkuQ,"sok”an cinta lo dek, rapor lu benerin dlo #cover #mosawo #koiiro",723K views,/shorts/DxN6u3_MkuQ,2024-03-18 23:32:23.757362,[]
6B2j3osJ0Kk,Toph Thinks She Gets Saved By Sokka Reaction,278K views,/shorts/6B2j3osJ0Kk,2024-03-18 23:32:23.757362,"['avatar season 2 reaction', 'Atla 2x10 reaction', 'avatar the last airbender 2x9 reaction', 'avatar the last airbender', 'zuko', 'katara', 'aang', 'Toph', 'toph vs Aang', 'toph earthbending', 'Aang Vs toph', 'toph vs earthbenders', 'Toph and Sokka', 'Sokka and Toph', 'Sokka saves Toph']"
WO3gem9iNEg,Memes from the Black Market!,5.5M views,/shorts/WO3gem9iNEg,2024-03-18 23:32:23.757362,[]
VYYD-gL8M40,The end of a girl who imitates Loli God’s Requiem dance #Shorts,28M views,/shorts/VYYD-gL8M40,2024-03-18 23:32:23.757362,"['animation', '애니메이션', '병맛만화', '웹애니', '웃긴만화', '일상만화', '코미디', '일상', 'entertainment', '난두팔', '粛聖!! ロリ神レクイエム', '로리신 레퀴엠', '가사 모르고 들으면 좋은 노래', ""Loli God's Requiem""]"
5JyijwAIWsk,Professional Motion Capture Actor,40M views,/shorts/5JyijwAIWsk,2024-03-18 23:32:23.757362,[]
dyWvF-p3Bu4,"Finally, it's NOT A TRAP- 💀👑 (Hell's Paradise)",16M views,/shorts/dyWvF-p3Bu4,2024-03-18 23:32:23.757362,"['HARISSM', 'hells paradise episode 5 reaction', 'hells paradise ep 5 reaction', 'hells paradise ep 5', 'hells paradise episode 5', 'hells paradise harissm', 'hells paradise reaction', 'jigokuraku reaction', 'jigokuraku episode 5', 'jigokuraku episode 5 reaction', 'jigokuraku ep 5 reaction', 'jigokuraku', 'jigokuraku harissm', 'hells paradise opening', ""hell's paradise reaction"", ""hell's paradise episode 5 reaction"", ""hell's paradise ep 5 reaction"", ""hell's paradise ep 5"", ""hell's paradise"", 'gabimaru', 'YUZURIHA']"
Q_rNjwdnL24,Anya x damian #spyxfamily,3.9M views,/shorts/Q_rNjwdnL24,2024-03-18 23:32:23.757362,[]
Ln_jQL8HOn0,Why Kobo Kanaeru hitting 1 million subscribers is actually a big deal.,1.1M views,/shorts/Ln_jQL8HOn0,2024-03-18 23:32:23.757362,"['anime', 'vtuber', 'hololive', 'hololiveid']"
