video_id,video_title,view_count,channel_name,channel_id,channel_url,time_record,video_tag
cIbwFCdWDYk,Mau Random Bentar!,,ShinMei,UCahetHoMuR0j0EKLogexCIg,/@ShinMeii,2024-03-18 23:32:23.757362,[]
vZ96jD3jh1Q,Kenapa Eropa Pro LGBT banget? Padahal Dulu Paling Anti! Lupa Tragedi Masa Lalu? | LearningByGoogling,68735.0,Sepulang Sekolah,UCfQHaUbD0oEBH_FRYHE5qIg,/@SepulangSekolah,2024-03-18 23:32:23.757362,"['sepulang sekolah', 'koi', 'jui', 'SMA', 'pelajar', 'komedi', 'comedy', 'standup', 'web series', 'bogor', 'indonesia', 'belajar', 'learning by googling', 'learning by google', 'learning with google', 'koide', 'koide namizo', 'koiyocabe', 'koiyo cabe', 'koyocabe', 'koyo cabe', 'history', 'sejarah', 'budaya', 'culture', 'asia tenggara', 'south east asia', 'story telling', 'storytelling', 'penjelasan', 'eropa', 'pelangi', 'raindow', 'index rainbow', 'rainbows', 'index']"
LwLHttdqGsc,Frieren: Beyond Journey's End - Episode 27 [English Sub],277353.0,Muse Asia,UCGbshtvS9t-8CW11W7TooQg,/@MuseAsia,2024-03-18 23:32:23.757362,[]
BkN_K-Px-Kw,The Wellerman Song and Drunken Sailor - Stormy Seas,261.0,Fenrir Music,UC-SR4l7G-X1Q_5e18QE1Wpg,/@FenrirAudioVisual,2024-03-18 23:32:23.757362,"['wellerman', 'drunken sailor', 'sea shanty', 'soon may the wellerman come', 'the wellerman song', 'pirate songs', 'Fenrir Music', 'The Wellerman', 'adventure', 'ship on sea', 'pirateship', 'Wellerman sea shanty', 'The Wellerman lyrics', 'The longest John wellerman song', 'wellerman remix', 'fenrir music video']"
ekh1uwg14Vc,Three two one koncoo,,NapLive,UChXsCcj64gdYp8FVCFTzwiw,/@naplive7,2024-03-18 23:32:23.757362,"['napking', 'naplive', 'livestreaming', 'game', 'horror', 'naruto', 'windah basudara']"
6Zy-bJmSwS4,Kehidupan ke-7 Nona Antagonis - Episode 11 [Takarir Indonesia],183477.0,Muse Indonesia,UCxxnxya_32jcKj4yN1_kD7A,/@MuseIndonesia,2024-03-18 23:32:23.757362,"['ルプなな', '7thloop', 'villainess', 'fantasi', 'romansa', 'loop', 'muse', 'Anime', 'Gratis', 'DiRumahAja']"
MfSE956GpUE,The Apothecary Diaries OP/Opening  - Hana ni Natte,980579.0,AniClipsCollection,UCCCFdfIWVMZt2Gb6kjrj4QA,/@accytofficial,2024-03-18 23:32:23.757362,[]
yM9nzbzJNec,Sousou no Frieren Ep. 27 Emotional OST- Flower Field | COVER,7006.0,TaeIn Kim Music,UCO-CX5f2TOpRxeoi0Xi9C1A,/channel/UCO-CX5f2TOpRxeoi0Xi9C1A,2024-03-18 23:32:23.757362,"['sousou', 'sousou no frieren', 'frieren', 'frieren ost', 'sousou no frieren emotional ost', 'emotional ost', 'frieren emotional ost', 'frieren sad ost', 'frieren sad music', 'sousou no frieren 27', 'episode 27']"
1h1w876eIAo,MENDING AZKA KATOLIK SELAMANYA DARIPADA DEKET SAMA ONAD‼️- LOGIN - JAFAR - ONAD,514332.0,Deddy Corbuzier,UCYk4LJI0Pr6RBDWowMm-KUw,/@corbuzier,2024-03-18 23:32:23.757362,"['Login', 'Log in', 'Habib Jafar', 'Onad', 'Onadio Leonardo', 'Closethedoor', 'Login di closethedoor', 'Agama', 'Islam', 'Ramadhan', 'Lucu', 'Debat', 'Sahur', 'buka puasa', 'puasa', 'tarawih', 'Komedi', 'Comedy', 'Deddy Corbuzier', 'Corbuzier', 'Orang tua', 'religi', 'islam', 'kristen', 'muslim', 'gereja', 'anak', 'nada tarina', 'azka corbuzier', 'ibu', 'surga', 'neraka']"
wI-M4kMTTso,Genshin Impact: Natlan Landscapes — Natlan Music,196.0,vescores,UCxQNI44gl-sduLl9e3_OW1w,/channel/UCxQNI44gl-sduLl9e3_OW1w,2024-03-18 23:32:23.757362,"['composer', 'soundtrack', 'original music', 'official soundtrack', 'vescores', 'veselin radanov', 'ves radanov', 'composer for hire', 'trailer music', 'epic trailer music', 'genshin impact', 'legend of zelda', 'genshin impact fan music', 'genshin impact ost', 'genshin impact sumeru ost', 'genshin impact sumeru music', 'genshin impact natlan', 'genshin impact natlan leak', 'genshin impact natlan ost', 'genshin impact natlan music', 'natlan', 'natlan music', 'genshin impact game', 'action music', 'adventure music', 'epic music']"
