short_id,short_headline,short_view_count,url,time_record
yeseJ_WyvQg,"[""maomao's"", 'new', 'little', 'student😂😂', '[the', 'apothecary', 'diaries]', '#animeedit', '#viral', '#fyp']",37000,/shorts/yeseJ_WyvQg,2024-03-13 23:04:58.067234
-14BImgVENA,"['the', 'mean,', 'the', 'median,', 'and', 'the', 'mode.']",50000,/shorts/-14BImgVENA,2024-03-13 23:04:58.067234
rzyX9cHTV2Y,"['sprinters', 'fighting', 'for', 'it', '😅']",55000000,/shorts/rzyX9cHTV2Y,2024-03-13 23:04:58.067234
DxN6u3_MkuQ,"['sok”an', 'cinta', 'lo', 'dek,', 'rapor', 'lu', 'benerin', 'dlo', '#cover', '#mosawo', '#koiiro']",718000,/shorts/DxN6u3_MkuQ,2024-03-13 23:04:58.067234
TIXpAHkgqQM,"['hololive', 'kobo', 'kanaeru', 'realistic', 'ai', 'generated']",110000,/shorts/TIXpAHkgqQM,2024-03-13 23:04:58.067234
fS8oUKqdrRc,"['calling', 'cats', 'compilation!', '#cats']",5100000,/shorts/fS8oUKqdrRc,2024-03-13 23:04:58.067234
pU6wlsmmSqM,"['the', 'training', 'paid', 'off']",39000000,/shorts/pU6wlsmmSqM,2024-03-13 23:04:58.067234
qRLcall9BfI,"['why', 'you', 'should', 'be', 'bald', '👨\u200d🦲', '|', 'avatar', '#shorts']",12000000,/shorts/qRLcall9BfI,2024-03-13 23:04:58.067234
AVOFeQWn0jA,"['rosé', 'vs', 'lisa', '|', 'lisa', 'blackpink', '|', 'blackpink', 'house', '|', '#blackpink', '#jisoo', '#rosé', '#jennie', '#lisa', '#shorts']",13000000,/shorts/AVOFeQWn0jA,2024-03-13 23:04:58.067234
iuShCV_QI_c,"['for', 'knife', 'blade', 'lover']",3100000,/shorts/iuShCV_QI_c,2024-03-13 23:04:58.067234
K9oUth_9jy0,"['robin', 'locks', 'in', 'evil', 'batman', 'scene', '-', 'new', 'skin', 'mod', 'suicide', 'squad', 'ktjl', '#dcgames']",4700000,/shorts/K9oUth_9jy0,2024-03-13 23:04:58.067234
k6TDLgVkLqs,"['zuko', 'is', 'so', 'smooth', 'in', 'avatar:', 'the', 'last', 'airbender', '😮', '#avatarthelastairbender']",748000,/shorts/k6TDLgVkLqs,2024-03-13 23:04:58.067234
2eJC6dx1d18,"['toph', 'is', 'many', 'things...', 'but', 'would', 'you', 'call', 'her', 'sweet?', '|', 'avatar', '#shorts']",841000,/shorts/2eJC6dx1d18,2024-03-13 23:04:58.067234
bv9agba7blc,"['pca', 'eigenvectors']",10000,/shorts/bv9agba7blc,2024-03-13 23:04:58.067234
o3C-LyANDgI,"['frieren', 'finally', 'flexes', 'her', 'true', 'power!!!', '😱', '(frieren', 'beyond', ""journey's"", 'end)']",681000,/shorts/o3C-LyANDgI,2024-03-13 23:04:58.067234
AXq3Mf0l1jk,"['he', 'is', 'falling', 'hard', 'for', 'her😍❤', '[maomao', 'and', 'jinshi]', 'apothecary', 'diaries', '#animeedit', '#viral', '#fyp']",2100000,/shorts/AXq3Mf0l1jk,2024-03-13 23:04:58.067234
fS8oUKqdrRc,"['calling', 'cats', 'compilation!', '#cats']",5100000,/shorts/fS8oUKqdrRc,2024-03-13 23:04:58.067234
pU6wlsmmSqM,"['the', 'training', 'paid', 'off']",39000000,/shorts/pU6wlsmmSqM,2024-03-13 23:04:58.067234
u3vRn0fwrHs,"['princess', 'vs', 'the', 'flirt', '-', 'jinshi', 'x', 'maomao', 'moments', '-', 'the', 'apothecary', 'diaries', '#anime', '#animeedit']",154000,/shorts/u3vRn0fwrHs,2024-03-13 23:04:58.067234
gbq-TAGavo4,"['floppy', 'hammer']",15000000,/shorts/gbq-TAGavo4,2024-03-13 23:04:58.067234
k6TDLgVkLqs,"['zuko', 'is', 'so', 'smooth', 'in', 'avatar:', 'the', 'last', 'airbender', '😮', '#avatarthelastairbender']",748000,/shorts/k6TDLgVkLqs,2024-03-13 23:04:58.067234
08qZS1lLgoY,"['indonesian', 'street', 'snack', 'pastel', '#indonesianfood']",336000,/shorts/08qZS1lLgoY,2024-03-13 23:04:58.067234
W5zpxS1-vxQ,"['om', 'dedy', 'corbuzier', 'usil', 'deh', 'sama', 'istri', '#dedycorbuzier', '#sabrina', '#shorts']",1400000,/shorts/W5zpxS1-vxQ,2024-03-13 23:04:58.067234
F5DQDs2cIdY,"['joe', 'rogan', 'on', 'wiz', '&', 'snoop', 'training', 'muay', 'thai😳']",8900000,/shorts/F5DQDs2cIdY,2024-03-13 23:04:58.067234
wwA3XGxWoUI,"['this', 'is', 'what', 'she', 'thinks', 'about', 'him😂😂', '[maomao', '&', 'jinshi]', '-', 'apothecary', 'diaries', '#animeedit', '#viral', '#fyp']",1400000,/shorts/wwA3XGxWoUI,2024-03-13 23:04:58.067234
U71tzh7oPBA,"['ievan', 'polkka', 'russian', 'vs', 'japanese']",3300000,/shorts/U71tzh7oPBA,2024-03-13 23:04:58.067234
PWvfrTgaPBI,"['the', 'sensitivity,', 'specificity,', 'precision,', 'recall', 'sing-a-long!!!']",63000,/shorts/PWvfrTgaPBI,2024-03-13 23:04:58.067234
fS8oUKqdrRc,"['calling', 'cats', 'compilation!', '#cats']",5100000,/shorts/fS8oUKqdrRc,2024-03-13 23:04:58.067234
pU6wlsmmSqM,"['the', 'training', 'paid', 'off']",39000000,/shorts/pU6wlsmmSqM,2024-03-13 23:04:58.067234
9gN0kumzA3c,"['aang', 'was', ""wildin'"", 'during', 'this', 'scene', '😭', '|', 'avatar', '#shorts']",1800000,/shorts/9gN0kumzA3c,2024-03-13 23:04:58.067234
vKcjjT0La2Q,"['new', 'sabaton', 'music:', '""weapons', 'of', 'the', 'modern', 'age""', 'is', 'out', 'now!', 'go', '&', 'listen', '#shorts']",387000,/shorts/vKcjjT0La2Q,2024-03-13 23:04:58.067234
AVOFeQWn0jA,"['rosé', 'vs', 'lisa', '|', 'lisa', 'blackpink', '|', 'blackpink', 'house', '|', '#blackpink', '#jisoo', '#rosé', '#jennie', '#lisa', '#shorts']",13000000,/shorts/AVOFeQWn0jA,2024-03-13 23:04:58.067234
Ka_-N7IzTPk,"['sawano', 'hiroyuki', '(colors)', '4k', 'edit']",2300000,/shorts/Ka_-N7IzTPk,2024-03-13 23:04:58.067234
08qZS1lLgoY,"['indonesian', 'street', 'snack', 'pastel', '#indonesianfood']",336000,/shorts/08qZS1lLgoY,2024-03-13 23:04:58.067234
F5DQDs2cIdY,"['joe', 'rogan', 'on', 'wiz', '&', 'snoop', 'training', 'muay', 'thai😳']",8900000,/shorts/F5DQDs2cIdY,2024-03-13 23:04:58.067234
IBOeoE6Dx_M,"['shooting', 'too', 'close', 'to', 'a', 'steel', 'target..🤯', '#yxg', '#shorts']",2300000,/shorts/IBOeoE6Dx_M,2024-03-13 23:04:58.067234
wwA3XGxWoUI,"['this', 'is', 'what', 'she', 'thinks', 'about', 'him😂😂', '[maomao', '&', 'jinshi]', '-', 'apothecary', 'diaries', '#animeedit', '#viral', '#fyp']",1400000,/shorts/wwA3XGxWoUI,2024-03-13 23:04:58.067234
WxY5-I5hZ_8,"['stardenburdenhardenbart', 'day11', 'cat', 'calling', 'in', 'different', 'languages', '(german', 'always', 'works)']",473000,/shorts/WxY5-I5hZ_8,2024-03-13 23:04:58.067234
wtLQUjfomig,"['the', 'exponential', 'distribution']",62000,/shorts/wtLQUjfomig,2024-03-13 23:04:58.067234
dkag70pWCoc,"['free', 'palestine', '🇵🇸']",6500000,/shorts/dkag70pWCoc,2024-03-13 23:04:58.067234
gbq-TAGavo4,"['floppy', 'hammer']",15000000,/shorts/gbq-TAGavo4,2024-03-13 23:04:58.067234
QE5y-fhPZR0,"['did', 'you', 'notice', 'this', 'firebending', 'detail?', '#atla', '#avatar']",1000000,/shorts/QE5y-fhPZR0,2024-03-13 23:04:58.067234
J7AFTIuNmQo,"['drawing', 'hoshino', 'ai', 'in', 'a', 'special', 'styl']",4900000,/shorts/J7AFTIuNmQo,2024-03-13 23:04:58.067234
Zl5hhFzHlK4,"['what', 'is', 'marvel', 'doing', '😓', '|', '#', 'shorts']",2400000,/shorts/Zl5hhFzHlK4,2024-03-13 23:04:58.067234
YWR30pAz3lY,"['shinmei', 'co.,ltd', 'sliding', 'tto']",108 views,/shorts/YWR30pAz3lY,2024-03-13 23:04:58.067234
L52PFsTNlkI,"['thank', 'you', 'scott…..', 'for', 'everything', '#shorts', '#fnaf']",6600000,/shorts/L52PFsTNlkI,2024-03-13 23:04:58.067234
uIczkJ02OIw,"['sadly,', 'we', 'all', 'know', 'who’s', 'going', 'to', 'win', '🥲', '-', 'wahlberg', 'vs', 'innocent', 'zero', '-', 'mashle']",203000,/shorts/uIczkJ02OIw,2024-03-13 23:04:58.067234
gBNnPY4Kcn0,"['team', 'indonesia🥇', '#sport', '#parkour', '#ocr', '#halangrintang']",2600000,/shorts/gBNnPY4Kcn0,2024-03-13 23:04:58.067234
hyYJecphc44,"['someone', 'is', 'jealous', '🤭😂', '[maomao', 'and', 'jinshi]', '-', 'the', 'apothecary', 'diaries', '#animeedit', '#viral', '#fyp']",412000,/shorts/hyYJecphc44,2024-03-13 23:04:58.067234
AVOFeQWn0jA,"['rosé', 'vs', 'lisa', '|', 'lisa', 'blackpink', '|', 'blackpink', 'house', '|', '#blackpink', '#jisoo', '#rosé', '#jennie', '#lisa', '#shorts']",13000000,/shorts/AVOFeQWn0jA,2024-03-13 23:04:58.067234
o3C-LyANDgI,"['frieren', 'finally', 'flexes', 'her', 'true', 'power!!!', '😱', '(frieren', 'beyond', ""journey's"", 'end)']",681000,/shorts/o3C-LyANDgI,2024-03-13 23:04:58.067234
vKcjjT0La2Q,"['new', 'sabaton', 'music:', '""weapons', 'of', 'the', 'modern', 'age""', 'is', 'out', 'now!', 'go', '&', 'listen', '#shorts']",387000,/shorts/vKcjjT0La2Q,2024-03-13 23:04:58.067234
WxY5-I5hZ_8,"['stardenburdenhardenbart', 'day11', 'cat', 'calling', 'in', 'different', 'languages', '(german', 'always', 'works)']",473000,/shorts/WxY5-I5hZ_8,2024-03-13 23:04:58.067234
wtLQUjfomig,"['the', 'exponential', 'distribution']",62000,/shorts/wtLQUjfomig,2024-03-13 23:04:58.067234
QE5y-fhPZR0,"['did', 'you', 'notice', 'this', 'firebending', 'detail?', '#atla', '#avatar']",1000000,/shorts/QE5y-fhPZR0,2024-03-13 23:04:58.067234
F5DQDs2cIdY,"['joe', 'rogan', 'on', 'wiz', '&', 'snoop', 'training', 'muay', 'thai😳']",8900000,/shorts/F5DQDs2cIdY,2024-03-13 23:04:58.067234
CufCKYbicME,"['the', 'apothecary', 'diaries', '|', 'jinshi', 'trying', 'to', 'charm', 'maomao', '#anime', '#theapothecarydiaries']",319000,/shorts/CufCKYbicME,2024-03-13 23:04:58.067234
gbq-TAGavo4,"['floppy', 'hammer']",15000000,/shorts/gbq-TAGavo4,2024-03-13 23:04:58.067234
14Kt7r21WS0,"['naruto', 'squad', 'reaction', 'on', 'komi', 'x', 'tadano😁😁😁']",1300000,/shorts/14Kt7r21WS0,2024-03-13 23:04:58.067234
