title,titleUrl,time,channel_name,channel_id,video_id,video_tag
Watched Honestly! I felt bad for killing these shadows ||  #callofduty #mw2 #shadow #shorts,https://www.youtube.com/watch?v=lJ48Z86T_rw,2024-03-18T15:29:04.430Z,STONE XD,UCSaDiRN6Z8owFIgqd0pkDDQ,lJ48Z86T_rw,"['STONE XD', 'Ghost', 'Call of duty', 'Edit', 'gmv', 'Modern warfare 2', 'Campaign remastered', 'Shadow company', 'Captain price', 'Soap mactavish']"
Watched My guy did NOT put a second thought 💀 (Shangri-La Frontier),https://www.youtube.com/watch?v=Y6Phjjl9Qvk,2024-03-18T15:28:35.232Z,harissm,UC6bi-o0gusnxQK7W5B85dHQ,Y6Phjjl9Qvk,"['HARISSM', 'shangri-la frontier', 'shangri-la frontier reaction', 'shangri-la frontier harissm', 'shangri-la frontier ep 1 reaction', 'shangri-la frontier episode 1', 'shangri-la frontier episode 1 reaction', 'shangri-la', 'shangri-la frontier anime', 'shangri-la frontier opening', 'shangri-la frontier ending', 'Shangri-La Frontier: Kusoge Hunter Kamige ni Idoman to su', 'emul', 'pencilgon', 'psyger-100', 'shangri-la frontier episode reaction', 'Rakurou Hizutome', 'rei x rakurou', 'faeria kick', 'sunraku kick']"
Watched The BRAT who flipped her SKIRT 80 years ago 💀 (Sousou no Frieren),https://www.youtube.com/watch?v=T33Bfgg2wUc,2024-03-18T15:28:33.438Z,harissm,UC6bi-o0gusnxQK7W5B85dHQ,T33Bfgg2wUc,"['HARISSM', 'Sousou no frieren', 'sousou no frieren episode 1', 'sousou no frieren episode 2', 'sousou no frieren episode 3', 'sousou no frieren episode 4', 'sousou no frieren episode 1 reaction', 'sousou no frieren episode 2 reaction', 'sousou no frieren episode 3 reaction', 'sousou no frieren episode 4 reaction', 'sousou no frieren ep 1 reaction', 'sousou no frieren reaction', ""frieren: beyond journey's end"", ""frieren: beyond journey's end reaction"", 'sousou no frieren harissm', 'frieren', 'fern', 'frieren fern']"
Watched Mau Random Bentar!,https://www.youtube.com/watch?v=cIbwFCdWDYk,2024-03-18T15:27:32.664Z,ShinMei,UCahetHoMuR0j0EKLogexCIg,cIbwFCdWDYk,
Watched if this is your POV as the 4th person in this drama 😭 #asignofaffection #itsoumi #oushi #heartbroken,https://www.youtube.com/watch?v=e1ayKkSLdFY,2024-03-18T15:10:36.562Z,English Subs & Dubs,UCXjvMknkTMIzE-Xzw2xzI1Q,e1ayKkSLdFY,"['romance anime', 'oushi heartbroken', 'painful anime', 'a sign of affection episode 8']"
Watched 🏆 The Most DISRESPECTFUL Killcam of ALLTIME 🏆,https://www.youtube.com/watch?v=Yt3JAj3rLNA,2024-03-18T15:10:35.593Z,Full Squad Gaming,UCNhcopSj1dbR6nm3QEA5arQ,Yt3JAj3rLNA,"['gaming', 'video games', 'full squad gaming', 'gaming trivia', 'gaming games', 'games', 'challenge', 'challenges', 'valorant', 'apex legends', 'apex', 'warzone', 'call of duty', 'csgo', 'overwatch', 'minecraft', 'roblox', 'animal crossing', 'gta', 'gta v', 'pubg', 'gaming memes', 'funny gaming momments', 'comedy', 'streaming', 'twitch', 'twitchcon', 'short', 'streamer', 'dark humor', 'fail', 'vanguard', 'tiktok', 'viral', 'jeopardy', 'mess up', 'nrg', 'nrg castle', 'full squad', 'mikeoofs', 'mikeoofs shorts', 'fortnite', 'cod zombies', 'zombies', 'pokemon', 'super hero', 'marvel', 'dc', 'iron man']"
Watched Saki is a savage 😂 #anime #animemoments,https://www.youtube.com/watch?v=8bnr0l2XeB0,2024-03-18T15:10:16.346Z,Animeme TV,UCzCItGmTbB-nHZHx5OOR4sQ,8bnr0l2XeB0,"['Anime', 'Anime Shorts', 'funny anime moments', 'anime funny moments', 'funny anime', 'anime moments', 'anime', 'funny anime moment', 'romantic killer']"
Watched FRIEREN VS FRIEREN IS A MASTERPIECE!!! 🔥🔥🔥 (Frieren Beyond Journey's End),https://www.youtube.com/watch?v=PdqT8D0_D78,2024-03-18T15:08:29.356Z,CloudyCrow,UCAdQ-eQtOGD8XMjE6SnDJ1g,PdqT8D0_D78,"['cloudycrow', 'anime reaction', 'anime mashup', 'frieren beyond journeys end', 'freiren episode 25', 'frieren beyond journeys end reaction', 'frieren episode 25 reaction', 'frieren ep 25 reaction', 'frieren reaction', 'frieren fern', 'frieren', 'frieren reaction mashup', 'frieren cloudycrow reaction', 'cloudy crow', 'reaction', 'sousou no frieren', 'frieren vs frieren']"
Watched Memes I found on the internet 🤣 part 33 #viral #shorts #memes #funnymemes #funny,https://www.youtube.com/watch?v=rQ6hvgqY2oY,2024-03-18T11:03:25.398Z,Funny clips on the Internet ,UCydlc0VWx6ijST1wi5N92BQ,rQ6hvgqY2oY,"['shorts', 'asmr', 'skibidi toilet', 'try not to laugh', 'funny memes', 'memes']"
Watched FERN The Slayer!!!💀 FRIEREN,https://www.youtube.com/watch?v=CYW6HL0aZgs,2024-03-18T10:46:57.731Z,FreshestAnime,UC3BJ-xQMcLJVzK0Uo7wfXOg,CYW6HL0aZgs,"['frieren', 'frieren anime', 'frieren anime reaction', 'frieren reaction', 'frieren ep 9 reaction', 'frieren ed reaction', 'frieren opening reaction', 'frieren ending reaction', 'anime reaction', 'frieren beyond journeys end reaction', 'frieren 9 reaction', 'frieren sad reaction', 'frieren episode 1 reaction', 'frieren ep 1 reaction', 'sousou no frieren', '葬送のフリーレン', 'aura', 'aura the guillotine', 'lugner', 'demons', 'frieren the slayer', 'FERN', 'stark', 'fern vs lugner', ""frieren beyond journey's end"", 'FERN The Slayer!!!']"
Watched Most stranger waves when the weather is change #weatherchange #northsea #waves,https://www.youtube.com/watch?v=CEejaToEygs,2024-03-18T10:46:53.308Z,𝕊𝕖𝕒 𝔽𝕦𝕣𝕪 ☠️,UCqMVDLnGSpMVhVEuy-RKsnQ,CEejaToEygs,
Watched Another Kid Fried Rice,https://www.youtube.com/watch?v=2-dUToDQ8lI,2024-03-18T10:46:51.831Z,Uncle Roger Shorts,UCSd6xd7dKy9mb0JhHGpyOIQ,2-dUToDQ8lI,
